Therapy	Sample	Response	Cancer types	Datasets	Alias
PURMORPHAMINE	PIM242	-0.040514999999999995	BRCA	Powell et al.	PURMORPHAMINE
PURMORPHAMINE	PIM014	0.053457000000000005	BRCA	Powell et al.	PURMORPHAMINE
PURMORPHAMINE	PIM137	0.045738	BRCA	Powell et al.	PURMORPHAMINE
PURMORPHAMINE	PIM254	-0.00073785	BRCA	Powell et al.	PURMORPHAMINE
PURMORPHAMINE	PIM040	0.030897000000000004	BRCA	Powell et al.	PURMORPHAMINE
PURMORPHAMINE	PIM053	-0.025963999999999997	BRCA	Powell et al.	PURMORPHAMINE
PURMORPHAMINE	PIM091	-0.00015891	BRCA	Powell et al.	PURMORPHAMINE
PURMORPHAMINE	PIM262	0.19716	BRCA	Powell et al.	PURMORPHAMINE
PURMORPHAMINE	PIM068	0.075991	BRCA	Powell et al.	PURMORPHAMINE
PURMORPHAMINE	PIM163	0.091792	BRCA	Powell et al.	PURMORPHAMINE
PURMORPHAMINE	PIM010	0.026964	BRCA	Powell et al.	PURMORPHAMINE
PURMORPHAMINE	PIM025	-0.029677999999999996	BRCA	Powell et al.	PURMORPHAMINE
